,Time,DFF,CPIAUCSL,CPILFESL,UNRATE,WTISPLC,INDPRO,MABMM301USM189S,A576RC1
0,1960-01-01,3.99,1.24095,2.00669,5.2,2.97,10.03675,,7.05509
1,1960-02-01,3.97,1.41379,2.34114,4.8,2.97,6.96284,,6.78233
2,1960-03-01,3.84,1.51881,2.0,5.4,2.97,4.49722,,5.93518
3,1960-04-01,3.92,1.93237,2.0,5.2,2.97,1.50636,,5.56845
4,1960-05-01,3.85,1.82507,1.66113,5.1,2.97,-0.11438,,4.94632
5,1960-06-01,3.32,1.71762,1.65563,5.4,2.97,-1.48232,,4.26992
6,1960-07-01,3.23,1.37221,1.3245,5.5,2.97,0.58441,,4.69287
7,1960-08-01,2.98,1.47361,1.3245,5.6,2.97,3.9902,,5.22675
8,1960-09-01,2.6,1.23077,0.9901,5.5,2.97,3.02637,,5.14593
9,1960-10-01,2.47,1.36286,1.31579,6.1,2.97,3.65858,,5.28533
10,1960-11-01,2.44,1.46508,1.31579,6.1,2.97,1.57575,,3.98936
11,1960-12-01,1.98,1.36008,0.65574,6.6,2.97,-6.16437,,1.49589
12,1961-01-01,1.45,1.60027,0.98361,6.6,2.97,-8.45377,5.33199,1.22177
13,1961-02-01,2.54,1.46209,0.65359,6.9,2.97,-7.74411,6.06568,0.96012
14,1961-03-01,2.02,1.46209,0.98039,6.9,2.97,-6.34204,6.34815,1.17951
15,1961-04-01,1.49,0.91401,0.98039,7.0,2.97,-3.65304,6.5978,0.91575
16,1961-05-01,1.98,0.91309,0.98039,7.1,2.97,-2.057,7.07876,1.35185
17,1961-06-01,1.73,0.77676,0.9772,6.9,2.97,0.579,7.27754,2.34004
18,1961-07-01,1.17,1.25212,1.30719,7.0,2.97,2.09045,7.07004,2.47813
19,1961-08-01,2.0,1.11449,1.63399,6.6,2.97,3.13975,6.74487,3.21402
20,1961-09-01,1.88,1.24958,1.63399,6.7,2.97,4.11316,6.84176,3.36012
21,1961-10-01,2.26,0.77311,0.97403,6.5,2.97,6.23505,6.979,3.96508
22,1961-11-01,2.61,0.67159,1.2987,6.1,2.97,9.42739,7.23705,5.55353
23,1961-12-01,2.33,0.67092,1.62866,6.0,2.97,12.53008,7.39437,7.03758
24,1962-01-01,2.15,0.67024,1.2987,5.8,2.97,11.42185,7.44986,6.3643
25,1962-02-01,2.37,0.90483,1.2987,5.5,2.97,13.382,7.45656,7.20556
26,1962-03-01,2.85,1.1059,1.2945,5.6,2.97,13.30111,7.79139,7.79599
27,1962-04-01,2.78,1.34183,1.2945,5.6,2.97,11.25592,8.0025,8.23956
28,1962-05-01,2.36,1.34048,1.61812,5.5,2.97,9.45135,7.85227,7.67844
29,1962-06-01,2.68,1.23995,1.29032,5.5,2.97,7.70998,7.70891,6.93105
30,1962-07-01,2.71,1.00267,1.29032,5.4,2.97,7.50872,7.73956,6.79232
31,1962-08-01,2.93,1.1356,1.28617,5.7,2.97,6.65149,7.69231,6.36943
32,1962-09-01,2.9,1.46765,1.28617,5.6,2.97,7.44895,7.70865,6.9258
33,1962-10-01,2.9,1.33422,1.28617,5.4,2.97,5.53745,7.88281,5.94822
34,1962-11-01,2.94,1.33422,0.96154,5.7,2.97,4.36183,7.91842,5.39979
35,1962-12-01,2.93,1.23292,1.28205,5.5,2.97,3.45954,8.1073,5.16351
36,1963-01-01,2.92,1.33156,0.96154,5.7,2.97,5.12509,8.20741,5.36451
37,1963-02-01,3.0,1.22883,1.28205,5.9,2.97,4.61376,8.17407,5.04947
38,1963-03-01,2.98,1.12695,1.27796,5.7,2.97,4.69608,8.0443,4.62994
39,1963-04-01,2.9,0.89374,1.27796,5.7,2.97,5.43146,8.04631,3.99061
40,1963-05-01,3.0,0.89286,0.95541,5.9,2.97,6.82318,8.23022,4.51958
41,1963-06-01,2.99,1.32406,1.27389,5.6,2.97,7.3718,8.33095,5.17875
42,1963-07-01,3.02,1.55526,1.27389,5.6,2.97,5.92594,8.6374,4.9284
43,1963-08-01,3.49,1.55218,1.26984,5.4,2.97,6.02561,8.73016,5.35595
44,1963-09-01,3.48,0.98619,1.26984,5.5,2.97,6.40746,8.76303,5.3536
