Year,cpi,ccpi,indprod,unemp,intrate,m3,oil_price,country_id
1997-01,2.7,,0.9,11.2,4.47,3.84518625,23.53761905,IT
1997-02,2.4,,2.0,11.3,4.48,3.846027973,20.85052632,IT
1997-03,2.2,,0.7,11.3,4.51,3.64917524,19.133,IT
1997-04,1.9,,1.8,11.4,4.38,3.458089184,17.55590909,IT
1997-05,1.9,,-0.2,11.4,4.3,3.994883231,19.02285714,IT
1997-06,1.6,,0.9,11.4,4.29,4.393738298,17.58,IT
1997-07,1.7,,0.7,11.0,4.29,4.569311877,18.4645,IT
1997-08,1.6,,0.6,11.0,4.32,4.124782585,18.5955,IT
1997-09,1.6,,-0.1,11.0,4.27,4.17523572,18.46095238,IT
1997-10,1.9,,1.2,11.3,4.39,4.680696316,19.86521739,IT
1997-11,1.7,,-0.9,11.3,4.4,4.631722192,19.17421053,IT
1997-12,1.7,,0.4,11.3,4.35,4.209584134,17.18190476,IT
1998-01,1.9,,-0.5,11.1,4.25,4.764659677,15.18666667,IT
1998-02,2.0,,0.2,11.1,4.24,4.702756362,14.0695,IT
1998-03,2.0,,-0.4,11.1,4.14,4.791498331,13.10318182,IT
1998-04,2.2,,1.0,11.5,4.12,5.448144306,13.5265,IT
1998-05,1.9,,-0.2,11.5,4.07,5.032325512,14.36315789,IT
1998-06,2.0,,-0.3,11.5,4.02,5.057020623,12.20636364,IT
1998-07,2.0,,-0.2,11.3,3.94,5.048339718,12.07956522,IT
1998-08,2.1,,-2.1,11.3,3.94,5.116639081,11.914,IT
1998-09,2.1,,1.9,11.3,3.96,4.765702707,13.34363636,IT
1998-10,1.9,,-0.4,11.5,3.86,5.032962408,12.70227273,IT
1998-11,1.7,,-0.1,11.4,3.67,4.951738575,11.03904762,IT
1998-12,1.6,,-6.5,11.4,3.44,4.999305514,9.824285714,IT
1999-01,1.4,,6.0,11.1,3.1583,6.126942096,11.1145,IT
1999-02,1.4,,-1.0,11.1,3.1264,5.523923655,10.27157895,IT
1999-03,1.4,,0.1,11.1,3.0548,5.634744499,12.51130435,IT
1999-04,1.3,,-0.4,11.1,2.6947,5.509062351,15.2945,IT
1999-05,1.5,,-0.6,11.1,2.5661,5.567014898,15.22526316,IT
1999-06,1.4,,1.6,11.0,2.6055,5.615620784,15.86318182,IT
1999-07,1.7,,0.6,11.0,2.6345,5.783023389,19.08,IT
1999-08,1.5,,0.3,10.9,2.6135,5.801219642,20.21904762,IT
1999-09,1.8,,0.9,10.9,2.5835,5.831083774,22.54318182,IT
1999-10,2.0,,0.8,10.7,2.7629,5.321507594,22.00238095,IT
1999-11,2.0,,0.5,10.7,3.0607,5.785657346,24.58409091,IT
1999-12,2.2,,-2.0,10.6,3.5094,5.841471659,25.47315789,IT
2000-01,2.2,,0.3,10.6,3.1502,4.977815521,25.511,IT
2000-02,2.4,,1.0,10.6,3.3591,5.83414537,27.77571429,IT
2000-03,2.5,,1.1,10.5,3.5892,6.04327737,27.48608696,IT
2000-04,2.4,,0.9,10.3,3.7909,5.755405631,22.76444444,IT
2000-05,2.5,,0.9,10.3,4.1632,5.394344301,27.73761905,IT
2000-06,2.8,,-0.2,10.2,4.3702,4.663891585,29.79545455,IT
2000-07,2.8,,-0.8,10.0,4.4077,4.227338325,28.68238095,IT
2000-08,2.8,,0.5,10.0,4.5743,4.541474165,30.19608696,IT
2000-09,2.8,,0.2,9.9,4.6977,4.264662852,33.1447619,IT
2000-10,2.7,,0.6,9.6,4.854,4.127010904,30.96090909,IT
2000-11,2.9,,1.4,9.6,4.9249,3.749423857,32.55227273,IT
2000-12,2.7,2.1,1.2,9.6,4.9483,4.010463475,25.66,IT
2001-01,2.5,1.9,-2.5,9.4,4.8049,3.789873284,25.62454545,IT
2001-02,1.5,0.5,-0.8,9.4,4.7996,3.76278721,27.5035,IT
2001-03,2.2,1.6,-0.3,9.3,4.7761,3.715268463,24.49727273,IT
2001-04,3.0,2.4,-0.8,9.2,4.7799,3.911532965,25.65714286,IT
2001-05,2.8,2.5,-0.4,9.1,4.6634,4.353038895,28.31363636,IT
2001-06,2.8,2.4,0.3,9.1,4.53,5.432072365,27.84904762,IT
2001-07,2.3,2.1,-1.9,9.1,4.5247,5.665291507,24.61363636,IT
2001-08,2.0,1.6,2.0,9.0,4.4647,6.007429804,25.68,IT
2001-09,2.0,2.1,-1.8,9.0,4.0508,6.841118987,25.6195,IT
2001-10,2.3,2.5,-0.8,8.9,3.7189,7.32295053,20.53782609,IT
2001-11,2.3,2.3,-1.9,8.9,3.4267,7.913150975,18.79727273,IT
2001-12,2.3,2.5,0.7,8.8,3.4182,8.016649526,18.70526316,IT
2002-01,2.3,2.5,-0.6,8.6,3.348,7.819556204,19.41681818,IT
2002-02,2.5,3.0,2.0,8.5,3.3363,7.415939804,20.2755,IT
2002-03,2.5,3.0,0.6,8.5,3.3456,7.338687928,23.69666667,IT
2002-04,2.5,2.8,-3.5,8.9,3.3357,7.349894642,25.72863636,IT
2002-05,2.5,2.8,3.9,8.8,3.374,7.7899085,25.34545455,IT
2002-06,2.4,2.8,-1.1,8.8,3.3835,7.140563775,24.08166667,IT
2002-07,2.5,2.9,-0.6,8.6,3.3612,7.037488927,25.73608696,IT
2002-08,2.5,3.0,-1.1,8.6,3.3328,6.9588043,26.65136364,IT
2002-09,2.9,3.2,2.0,8.6,3.3174,7.166517398,28.39952381,IT
2002-10,2.9,3.0,-1.3,8.5,3.306,6.810246464,27.54304348,IT
2002-11,2.9,3.2,2.1,8.5,3.2312,7.051129279,24.3352381,IT
2002-12,3.0,3.2,-0.9,8.4,2.9799,6.995841765,28.3345,IT
2003-01,2.9,2.7,0.3,8.8,2.8548,7.504464221,31.18363636,IT
2003-02,2.6,2.4,-2.6,8.7,2.7748,8.26972318,32.771,IT
2003-03,3.0,2.8,0.7,8.7,2.601,8.235897792,30.61238095,IT
2003-04,3.0,2.9,1.6,8.4,2.5762,8.958238481,25.06772727,IT
2003-05,2.8,2.7,-3.4,8.5,2.5204,8.685980267,25.85772727,IT
2003-06,2.8,2.7,1.2,8.5,2.177,8.552075335,27.65285714,IT
2003-07,2.8,2.5,1.6,8.4,2.1306,8.780401769,28.34869565,IT
