Year;m3;oil_price
1981-01;10.18813491;
1981-02;10.5405601;
1981-03;10.41971737;
1981-04;10.83643095;
1981-05;11.2251829;
1981-06;11.18186519;
1981-07;10.82614125;
1981-08;10.59532675;
1981-09;11.07267684;
1981-10;10.68748879;
1981-11;10.09077624;
1981-12;10.43516411;
1982-01;10.7174194;
1982-02;10.53240135;
1982-03;10.73133167;
1982-04;10.65199274;
1982-05;10.13778714;
1982-06;10.81737906;
1982-07;10.94865212;
1982-08;11.67623998;
1982-09;11.3773844;
1982-10;11.24228501;
1982-11;11.2841919;
1982-12;11.66243844;
1983-01;11.16249192;
1983-02;10.91734351;
1983-03;10.19534035;
1983-04;10.12060269;
1983-05;10.25533469;
1983-06;9.613036161;
1983-07;9.617099894;
1983-08;9.33833523;
1983-09;8.935111526;
1983-10;9.176517206;
1983-11;9.171413789;
1983-12;8.760446738;
1984-01;8.640758368;
1984-02;8.359686723;
1984-03;8.506294771;
1984-04;8.407912258;
1984-05;8.651724903;
1984-06;8.43126103;
1984-07;8.436210675;
1984-08;8.568662989;
1984-09;9.050137643;
1984-10;8.630314987;
1984-11;8.397043226;
1984-12;8.384479571;
1985-01;8.788597546;
1985-02;9.429476191;
1985-03;9.489194547;
1985-04;9.360402225;
1985-05;8.728631938;
1985-06;8.634515402;
1985-07;8.426571784;
1985-08;7.910952507;
1985-09;7.550625196;
1985-10;7.659796401;
1985-11;7.349847271;
1985-12;7.266647557;
1986-01;6.801947643;
1986-02;6.219383478;
1986-03;6.585721861;
1986-04;5.946789134;
1986-05;6.133429902;
1986-06;6.139871663;
1986-07;6.225157018;
1986-08;6.389224997;
1986-09;6.667210138;
1986-10;7.159835247;
1986-11;7.239495196;
1986-12;6.876667669;
1987-01;7.138778385;
1987-02;7.277036697;
1987-03;7.01506638;
1987-04;7.935944156;
1987-05;8.107791252;
1987-06;8.194068271;18.86047619
1987-07;8.177821808;19.85652174
1987-08;8.276820518;18.97952381
1987-09;8.15264795;18.31318182
1987-10;8.000643463;18.75772727
1987-11;8.178150419;17.78095238
1987-12;8.068077025;17.05409091
1988-01;7.900905569;16.74944444
1988-02;7.840367478;15.72952381
1988-03;7.65821851;14.73130435
1988-04;7.991263527;16.59526316
1988-05;8.093244697;16.31409091
1988-06;7.980036426;15.54363636
1988-07;8.121075491;14.90761905
1988-08;8.331088984;14.89391304
1988-09;8.29924278;13.17954545
1988-10;8.326013491;12.40571429
1988-11;8.379179927;13.02454545
1988-12;8.47363051;15.30666667
1989-01;8.61547257;17.17190476
1989-02;8.890345835;16.8885
1989-03;9.633245995;18.70095238
1989-04;8.789532065;20.3195
1989-05;8.855424655;18.63318182
1989-06;9.642572207;17.67090909
1989-07;9.726495472;17.62285714
1989-08;9.50950803;16.77
1989-09;9.456261304;17.76619048
1989-10;9.171162566;18.90772727
1989-11;9.303127244;18.72727273
1989-12;9.995034013;19.83894737
1990-01;10.37268883;21.25181818
1990-02;10.15392124;19.8135
1990-03;9.110854227;18.38727273
1990-04;9.2272972;16.61210526
1990-05;8.889670056;16.35227273
1990-06;8.57581512;15.1047619
1990-07;8.296323356;17.16909091
1990-08;8.324973539;27.1673913
1990-09;8.571527538;34.899
1990-10;8.632132148;36.0226087
1990-11;8.557842447;33.06727273
1990-12;8.342801597;28.2735
1991-01;7.790833927;23.56636364
1991-02;8.065491968;19.536
1991-03;7.972809362;19.0825
1991-04;8.070943413;19.18
1991-05;8.122737445;19.18681818
1991-06;7.791168925;18.1675
1991-07;7.887602089;19.39695652
1991-08;8.011360618;19.77272727
1991-09;7.650590177;20.50190476
1991-10;7.640768734;22.20608696
1991-11;7.79320771;21.10857143
1991-12;7.757553735;18.41095238
1992-01;7.327914309;18.16363636
1992-02;6.957018671;18.0535
1992-03;7.460865539;17.63090909
1992-04;7.982180205;18.91904762
1992-05;8.225135897;19.8885
1992-06;8.185937276;21.15818182
1992-07;8.125472321;20.23652174
1992-08;7.716849565;19.73809524
1992-09;8.745853637;20.27
1992-10;8.217697643;20.26181818
1992-11;8.117997854;19.21428571
1992-12;7.406861185;18.13952381
1993-01;7.674688669;17.386
1993-02;7.740444488;18.46631579
1993-03;8.384243434;18.78521739
1993-04;7.612510618;18.6745
1993-05;7.323836014;18.50789474
1993-06;7.07410738;17.65272727
1993-07;6.591013648;16.77545455
1993-08;6.635775506;16.69619048
1993-09;5.48639154;16.01181818
1993-10;6.115915027;16.60666667
1993-11;5.97611638;15.19636364
1993-12;6.640407788;13.72571429
1994-01;6.516829904;14.2915
1994-02;6.161685787;13.802
1994-03;5.279462697;13.8226087
1994-04;5.289169118;15.23157895
1994-05;4.69956487;16.188
1994-06;4.68544301;16.76318182
1994-07;4.859832924;17.59952381
1994-08;4.364873869;16.89272727
1994-09;4.009676142;15.895
1994-10;3.660662985;16.49047619
1994-11;3.228836501;17.19136364
1994-12;2.327345725;15.932
1995-01;2.371695091;16.55190476
1995-02;2.693715163;17.1145
1995-03;2.150369173;17.00652174
1995-04;2.182922958;18.64833333
1995-05;2.7594101;18.35090909
1995-06;3.083574873;17.31272727
1995-07;2.822983453;15.85428571
1995-08;3.528920654;16.09636364
1995-09;4.167084963;16.69952381
1995-10;4.172283301;16.11090909
1995-11;4.507637102;16.86090909
1995-12;5.661371556;17.92526316
1996-01;5.732011603;17.85318182
1996-02;5.526945512;17.99904762
1996-03;5.981131786;19.85190476
1996-04;6.033969775;20.9005
1996-05;5.63256923;19.1547619
1996-06;5.231775814;18.4565
1996-07;5.492237164;19.57086957
1996-08;5.283263649;20.51238095
1996-09;5.168278618;22.63047619
1996-10;4.87932017;24.1626087
1996-11;4.573732489;22.75952381
1996-12;4.163474949;23.783
1997-01;3.84518625;23.53761905
1997-02;3.846027973;20.85052632
1997-03;3.64917524;19.133
1997-04;3.458089184;17.55590909
1997-05;3.994883231;19.02285714
1997-06;4.393738298;17.58
1997-07;4.569311877;18.4645
1997-08;4.124782585;18.5955
1997-09;4.17523572;18.46095238
1997-10;4.680696316;19.86521739
